"TABLE_NAME","COLUMN_ID","COLUMN_NAME","UNIT","DATA_TYPE","DATA_LENGTH","PRIMARY_KEY","DESCRIPTION"
"DRYCHEM_ANNUAL","1.0","SITE_ID","","CHAR","6","","Site identification code"
"DRYCHEM_ANNUAL","2.0","YEAR","","NUMBER","4,0","","Calendar year of measurement, using standard Tuesday-Tuesday weeks"
"DRYCHEM_ANNUAL","3.0","DATEON","","DATE","19","","Date and time standard Tuesday-Tuesday period began, Local Standard Time; mm/dd/yyyy hh:mm:ss."
"DRYCHEM_ANNUAL","4.0","DATEOFF","","DATE","19","","Date and time standard Tuesday-Tuesday period ended, Local Standard Time; mm/dd/yyyy hh:mm:ss."
"DRYCHEM_ANNUAL","5.0","SO2_CONC","ug/m^3","NUMBER","8,4","","Mean ambient sulfur dioxide (SO2) concentration; ug/m^3."
"DRYCHEM_ANNUAL","6.0","SO4_CONC","ug/m^3","NUMBER","8,4","","Mean ambient particulate sulfate (SO4) concentration; ug/m^3."
"DRYCHEM_ANNUAL","7.0","NO3_CONC","ug/m^3","NUMBER","8,4","","Mean ambient particulate nitrate (NO3) concentration; ug/m^3."
"DRYCHEM_ANNUAL","8.0","HNO3_CONC","ug/m^3","NUMBER","8,4","","Mean ambient particulate nitric acid (HNO3) concentration; ug/m^3."
"DRYCHEM_ANNUAL","9.0","TNO3_CONC","ug/m^3","NUMBER","8,4","","Total ambient nitrate (NO3+HNO3) concentration; ug/m^3."
"DRYCHEM_ANNUAL","10.0","NH4_CONC","ug/m^3","NUMBER","8,4","","Mean ambient particulate ammonium (NH4) concentration; ug/m^3."
"DRYCHEM_ANNUAL","11.0","CA_CONC","ug/m^3","NUMBER","8,4","","Mean ambient particulate calcium (Ca) concentration; ug/m^3."
"DRYCHEM_ANNUAL","12.0","NA_CONC","ug/m^3","NUMBER","8,4","","Mean ambient particulate sodium (Na) concentration; ug/m^3."
"DRYCHEM_ANNUAL","13.0","MG_CONC","ug/m^3","NUMBER","8,4","","Mean ambient particulate magnesium (Mg) concentration; ug/m^3."
"DRYCHEM_ANNUAL","14.0","K_CONC","ug/m^3","NUMBER","8,4","","Mean ambient particulate potassium (K) concentration; ug/m^3."
"DRYCHEM_ANNUAL","15.0","CL_CONC","ug/m^3","NUMBER","8,4","","Mean ambient particulate chloride (Cl) concentration; ug/m^3."
